dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.92,0.73,0.81,0.84,0.88,0.88,0.81,0.82,0.77,0.75,0.73,0.88,0.81,0.76,0.84,0.77,0.84,0.82,0.81,0.74,0.8,0.71,0.78,0.82,0.8,0.87,0.84,0.77,0.77,0.86
AconityMINIPrinterLargeEq,0.935811,0.936655,0.941723,0.935811,0.949324,0.942568,0.940034,0.942568,0.945101,0.943412,0.945101,0.942568,0.945946,0.934122,0.941723,0.94848,0.945101,0.936655,0.943412,0.938345,0.954392,0.943412,0.950169,0.940878,0.94848,0.939189,0.950169,0.942568,0.945101,0.952703
AconityMINIPrinterSmallEq,0.979452,0.976027,0.979452,0.979452,0.979452,0.979452,0.989726,0.979452,0.965753,0.979452,0.979452,0.972603,0.94863,0.969178,0.969178,0.979452,0.986301,0.979452,0.976027,0.982877,0.972603,0.986301,0.962329,0.969178,0.976027,0.962329,0.982877,0.979452,0.979452,0.972603
Adiac,0.838875,0.820972,0.795396,0.805627,0.826087,0.823529,0.815857,0.805627,0.800512,0.800512,0.808184,0.780051,0.803069,0.808184,0.808184,0.813299,0.828645,0.787724,0.803069,0.813299,0.803069,0.826087,0.823529,0.826087,0.813299,0.826087,0.810742,0.810742,0.838875,0.818414
AllGestureWiimoteXEq,0.635714,0.688571,0.68,0.675714,0.674286,0.678571,0.677143,0.674286,0.657143,0.681429,0.678571,0.64,0.682857,0.697143,0.667143,0.654286,0.678571,0.687143,0.68,0.68,0.684286,0.665714,0.68,0.644286,0.684286,0.67,0.678571,0.711429,0.637143,0.73
AllGestureWiimoteYEq,0.671429,0.741429,0.688571,0.711429,0.724286,0.728571,0.691429,0.731429,0.684286,0.711429,0.675714,0.687143,0.715714,0.691429,0.702857,0.704286,0.7,0.707143,0.687143,0.724286,0.708571,0.735714,0.728571,0.737143,0.711429,0.71,0.681429,0.704286,0.69,0.698571
AllGestureWiimoteZEq,0.661429,0.672857,0.682857,0.674286,0.675714,0.655714,0.692857,0.65,0.664286,0.672857,0.671429,0.637143,0.624286,0.657143,0.681429,0.637143,0.662857,0.641429,0.65,0.678571,0.675714,0.667143,0.672857,0.657143,0.664286,0.664286,0.7,0.654286,0.66,0.618571
ArrowHead,0.828571,0.754286,0.834286,0.834286,0.834286,0.857143,0.868571,0.834286,0.834286,0.862857,0.777143,0.834286,0.777143,0.862857,0.828571,0.851429,0.714286,0.811429,0.828571,0.828571,0.891429,0.788571,0.765714,0.822857,0.885714,0.834286,0.92,0.805714,0.874286,0.828571
AsphaltObstaclesUniEq,0.851662,0.841432,0.85422,0.810742,0.831202,0.841432,0.813299,0.872123,0.83376,0.849105,0.83376,0.85422,0.84399,0.826087,0.838875,0.808184,0.836317,0.846547,0.869565,0.841432,0.851662,0.83376,0.851662,0.849105,0.826087,0.851662,0.813299,0.849105,0.851662,0.85422
AsphaltPavementTypeUniEq,0.945076,0.917614,0.944129,0.931818,0.941288,0.936553,0.944129,0.941288,0.935606,0.940341,0.941288,0.9375,0.943182,0.931818,0.940341,0.933712,0.92803,0.933712,0.943182,0.933712,0.941288,0.941288,0.936553,0.939394,0.934659,0.928977,0.941288,0.945076,0.925189,0.947917
